observation_date,Vietnam,Indonesia,Malaysia,Thailand,The Philippines,Peru,Mexico,Chile,Colombia,Republic of Korea,Hong Kong SAR,Singapore,South Africa,Ethiopia,Ghana,Nigeria,Mozambique,Kenya
2014-01-01,2439.286557444230,3170.721030114290,9341.73055971278,5541.465993618450,2776.92005909479,6103.91864749969,9862.48125444199,13285.95403611920,6121.83982019825,29470.67329916550,41796.86818677630,54681.93364582530,6155.00589462516,556.362532243867,1726.369301346470,2583.61556958140,585.266716133984,1450.593382022770
2015-01-01,2577.568853401130,3288.222697255380,9648.67979375230,5688.853353978840,2909.85818010301,6231.71150338894,10021.23861188270,13433.92029870320,6248.51490534512,30171.79065452220,42432.16197404410,55645.60686146060,6112.27382485974,597.912113218663,1722.772828336060,2585.73360671797,610.563774706589,1489.119597772840
2016-01-01,2715.578874312720,3416.810051709720,9901.47960179812,5857.780529359260,3076.33741867590,6392.25474941014,10100.50212140150,13505.09771113300,6316.07067782542,31005.40728763880,43087.54555784290,56986.78531029110,6095.29506042800,636.835680951429,1740.811019029280,2481.81490350326,620.779714954555,1517.977960577420
2017-01-01,2868.136800133790,3553.519992623210,10293.76292053620,6076.743077000820,3247.45038783620,6457.41940254721,10193.77271934570,13473.34585329340,6309.67745292518,31979.90273024670,44380.81003403620,59485.30158739210,6125.69205074970,678.985419157570,1841.446361532490,2441.71236404488,618.397694360334,1542.337739733720
2018-01-01,3048.283276021450,3701.321554619120,10610.19502404790,6314.199484120430,3410.93647976109,6593.14437459526,10296.86909285340,13763.00688447950,6353.54642853920,32852.88874889420,45280.50798919510,61250.34766723020,6117.27014060470,705.968812073360,1915.453232378100,2431.77857832568,621.153734194787,1596.690459149450
2019-01-01,3241.076489665290,3850.903217389790,10902.98348558560,6434.537705180340,3575.88170922922,6626.26083494969,10159.44483643190,13630.59354355780,6439.96359812647,33496.31138156430,44195.27686444310,61345.52918200620,6032.82972598668,744.702789753973,1999.553722202110,2431.53528472982,617.139320001950,1645.709617778620
2020-01-01,3303.169498074930,3739.449065631610,10171.46578427620,6035.186277370770,3198.66690008413,5831.83024758521,9234.64362317923,12679.02400402200,5891.95523215403,33215.92989281080,41451.29811313330,59189.70385743000,5569.58483319272,768.705424485209,1970.194114603980,2228.68631422888,591.804059985932,1609.334140782810
2021-01-01,3358.217347647140,3850.688772539030,10388.26671208570,6121.526965297130,3350.97587587776,6547.84718181776,9728.05680032556,14051.47136306770,6457.16921807086,34792.93972145980,44530.92620905830,67731.26107117170,5750.90937479584,790.657019597780,2030.048665009670,2206.66406250067,588.215854695416,1698.895782714440
2022-01-01,3617.663114650120,4024.912252883910,11191.65117569430,6278.785513827600,3577.70136573244,6667.51695632036,10013.24792361430,14283.14895015240,6856.72590505374,35809.01381051440,43281.68522913060,68218.80533356200,5786.86505344736,811.177729326201,2067.208959107660,2254.29080416892,596.058889461466,1747.531988044280
2023-01-01,3775.463755558020,4192.651678906920,11445.39252750790,6408.414325772940,3744.69763802928,6568.00027797930,10259.17666164030,14280.34756388420,6828.59753791113,36347.70363925530,43550.62987477860,66167.35963036070,5756.55049453121,842.446604894040,2091.813356459500,2280.91931156115,610.433258850746,1811.216518384250
2024-01-01,4017.746041115540,4367.862666211910,11883.79127749000,6574.461093879850,3925.30486972180,6711.19403272527,10316.46119022150,14579.40010713070,6863.59563194342,37048.42640014960,44712.76547255320,67706.83361497390,5715.47531469148,883.458588619291,2167.726914066780,2324.64881202751,605.604720848519,1860.022870477760
